HoleID,HoleType,Year,Property,Prospect,Grid,Easting,Northing,Elevation,NewsRelease,Length_m,Dip,Azimuth
BX23-001,DDH,2023,NIDD,Boundary South,NAD83 / UTM zone 9N,421750.587,7010122.185,1114.033,2023-08-22,219,-49.76,36.07
BX23-002,DDH,2023,NIDD,Boundary South,NAD83 / UTM zone 9N,421638.127,7010244.02,1137.085,2023-08-22,144,-49.89,13.42
DDH-79-1,DDH,1979,JASON,End Zone,NAD83 / UTM zone 9N,432861.44,7004987.45,1373.491,Historical,214.3,-55,35.19
DDH-79-2,DDH,1979,MAC,End Zone,NAD83 / UTM zone 9N,433026.83,7005052.05,1396.282,Historical,288.4,-55,35.19
EZ18-001,DDH,2018,JASON,End Zone,NAD83 / UTM zone 9N,433192.55,7004892.04,1398.411,2018-11-15,78.5,-52,201.19
EZ18-002,DDH,2018,JASON,End Zone,NAD83 / UTM zone 9N,433229.24,7004856.87,1395.462,2018-11-29,90.2,-57.71,213.19
EZ18-003,DDH,2018,JASON,End Zone,NAD83 / UTM zone 9N,433229.48,7004857.32,1395.449,2018-11-29,188.5,-81,213.19
EZ18-004,DDH,2018,JASON,End Zone,NAD83 / UTM zone 9N,433125.05,7004924.38,1396.654,2018-11-29,76.4,-51,212.19
EZ18-005,DDH,2018,JASON,End Zone,NAD83 / UTM zone 9N,432959.39,7005009.26,1389.081,2018-11-29,309,-50.43,213.13
JRC19-001,RC,2019,JASON,Exploration,NAD83 / UTM zone 9N,436229.06,7003017.66,1316.053,Historical,24.38,-50,5.53
JRC19-002,RC,2019,JASON,Exploration,NAD83 / UTM zone 9N,436235.39,7003037.84,1317.667,Historical,16.76,-50,5.53
JRC19-003,RC,2019,JASON,Exploration,NAD83 / UTM zone 9N,436241.52,7003050.59,1318.752,Historical,20.73,-60,5.53
JRC20-001,RC,2020,JASON,Jason Main,NAD83 / UTM zone 9N,436437,7002774,1298,2021-05-14,47.24,-50,27.03
JRC20-002,RC,2020,JASON,Jason Main,NAD83 / UTM zone 9N,436533,7002772,1300,2021-05-14,59.44,-65,10
JS17-001,DDH,2017,JASON,Jason Main,NAD83 / UTM zone 9N,436799.95,7002593.97,1199.93,2017-10-10,200,-52,16.12
JS17-002,DDH,2017,JASON,Jason Main,NAD83 / UTM zone 9N,436891.22,7002572.87,1183.23,2017-10-10,197,-59,13.12
JS17-003,DDH,2017,JASON,Jason Main,NAD83 / UTM zone 9N,436755.05,7002786.87,1253.78,2017-10-10,206,-71,191.12
JS17-004,DDH,2017,JASON,Jason Main,NAD83 / UTM zone 9N,436515.41,7002740.27,1296.54,2017-10-10,208.35,-69,26.12
JS17-005,DDH,2017,JASON,Jason Main,NAD83 / UTM zone 9N,436604.8,7002683.12,1272.23,2017-10-24,247.7,-60.5,23.12
JS17-006,DDH,2017,JASON,Jason Main,NAD83 / UTM zone 9N,436483.46,7002761.95,1298.52,2017-10-24,101,-60,16.12
JS17-007,DDH,2017,JASON,Jason Main,NAD83 / UTM zone 9N,436338.42,7002792.99,1298.54,2017-10-24,106.5,-45,14.12
JS18-001,DDH,2018,JASON,Jason South,NAD83 / UTM zone 9N,436670.68,7002472.96,1204.48,Historical,678,-68,217.12
JS19-001,DDH,2019,JASON,Jason Exploration,NAD83 / UTM zone 9N,436216.13,7002988.61,1311.187,2020-01-07,108,-47.7,10.23
