holeid,from,to,Code,Code_Long,Code_Description
DDH-79-1,15.5,18,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
DDH-79-1,18,20,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
DDH-79-1,20,21.7,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
DDH-79-1,21.7,23,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
DDH-79-1,23,23.9,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
DDH-79-1,23.9,24,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
DDH-79-1,24,25.6,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
DDH-79-1,25.6,26.28,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
DDH-79-1,26.28,27,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,27,28.9,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,28.9,30,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,30,31.2,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,31.2,31.3,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,31.3,38.3,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,38.3,38.4,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,38.4,41,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,41,41.1,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,41.1,42.2,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,42.2,42.3,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,42.3,48.4,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,48.4,48.5,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,48.5,53.2,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,53.2,53.3,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,53.3,54.3,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,54.3,54.4,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,54.4,62.9,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,62.9,63,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,63,69.5,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,69.5,69.6,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,69.6,73.8,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,73.8,73.9,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,73.9,84.7,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,84.7,84.8,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,84.8,96.9,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,96.9,97,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,97,98.2,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,98.2,98.3,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,98.3,99.7,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,99.7,101.7,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,101.7,103.7,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,103.7,105.7,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,105.7,107.7,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,107.7,109.7,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,109.7,111.7,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,111.7,113.7,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,113.7,115.7,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,115.7,117.7,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,117.7,120,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,120,122,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,122,124,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,124,126,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,126,128,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,128,130,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,130,132,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,132,134,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,134,142.1,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,142.1,142.2,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,142.2,143.4,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,143.4,143.5,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,143.5,150,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,150,152,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,152,152.3,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,152.3,152.4,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,152.4,155.2,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,155.2,155.5,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,155.5,158.8,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
DDH-79-1,158.8,161,EZUL,End Zone Upper Lens,End Zone upper lens; minor zinc mineralization
EZ18-001,11,14.08,EZUL,End Zone Upper Lens,End Zone upper lens; minor zinc mineralization
EZ18-001,14.08,15.06,EZUL,End Zone Upper Lens,End Zone upper lens; minor zinc mineralization
EZ18-001,15.06,15.97,EZUL,End Zone Upper Lens,End Zone upper lens; minor zinc mineralization
EZ18-001,15.97,17,EZUL,End Zone Upper Lens,End Zone upper lens; minor zinc mineralization
EZ18-001,17,18.08,EZUL,End Zone Upper Lens,End Zone upper lens; minor zinc mineralization
EZ18-001,18.08,18.82,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
EZ18-001,18.82,19.57,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
EZ18-001,19.57,21.07,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
EZ18-001,21.07,22.62,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
EZ18-001,22.62,24.12,EZW1,End Zone waste1,End Zone barren material between upper and middle lenses
EZ18-001,24.12,25.62,EZML,End Zone Middle Lens,End Zone middle lens; minor zinc mineralization
EZ18-001,25.62,27.04,EZML,End Zone Middle Lens,End Zone middle lens; minor zinc mineralization
EZ18-001,27.04,28.5,EZML,End Zone Middle Lens,End Zone middle lens; minor zinc mineralization
EZ18-001,28.5,29.5,EZML,End Zone Middle Lens,End Zone middle lens; minor zinc mineralization
EZ18-001,29.5,31.09,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-001,31.09,32.54,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-001,32.54,34.04,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-001,34.04,35.44,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-001,35.44,36.94,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-001,36.94,38.39,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-001,38.39,41,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-001,41,44,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-001,44,46,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-001,46,47.5,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-001,47.5,49,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-001,49,50.5,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-001,50.5,51.87,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-001,51.87,52.93,EZLL,End Zone Lower Lens,End Zone lower lens; laminated stratiform sphalerite-galena-pyrite-barite
EZ18-001,52.93,53.94,EZLL,End Zone Lower Lens,End Zone lower lens; laminated stratiform sphalerite-galena-pyrite-barite
EZ18-001,53.94,54.83,EZLL,End Zone Lower Lens,End Zone lower lens; laminated stratiform sphalerite-galena-pyrite-barite
EZ18-001,54.83,56,EZLL,End Zone Lower Lens,End Zone lower lens; laminated stratiform sphalerite-galena-pyrite-barite
EZ18-001,56,57.13,EZLL,End Zone Lower Lens,End Zone lower lens; laminated stratiform sphalerite-galena-pyrite-barite
EZ18-001,57.13,57.61,EZLL,End Zone Lower Lens,End Zone lower lens; laminated stratiform sphalerite-galena-pyrite-barite
EZ18-001,57.61,58.22,EZLL,End Zone Lower Lens,End Zone lower lens; laminated stratiform sphalerite-galena-pyrite-barite
EZ18-001,58.22,58.56,EZLL,End Zone Lower Lens,End Zone lower lens; laminated stratiform sphalerite-galena-pyrite-barite
EZ18-001,58.56,59,EZLL,End Zone Lower Lens,End Zone lower lens; laminated stratiform sphalerite-galena-pyrite-barite
EZ18-001,59,59.57,EZLL,End Zone Lower Lens,End Zone lower lens; laminated stratiform sphalerite-galena-pyrite-barite
EZ18-001,59.57,60.36,EZLL,End Zone Lower Lens,End Zone lower lens; laminated stratiform sphalerite-galena-pyrite-barite
EZ18-001,60.36,61.18,EZLL,End Zone Lower Lens,End Zone lower lens; laminated stratiform sphalerite-galena-pyrite-barite
EZ18-001,61.18,61.84,EZLL,End Zone Lower Lens,End Zone lower lens; laminated stratiform sphalerite-galena-pyrite-barite
EZ18-001,61.84,62.86,EZLL,End Zone Lower Lens,End Zone lower lens; laminated stratiform sphalerite-galena-pyrite-barite
EZ18-001,62.86,64.03,EZLL,End Zone Lower Lens,End Zone lower lens; laminated stratiform sphalerite-galena-pyrite-barite
EZ18-002,6.6,7.79,EZML,End Zone Middle Lens,End Zone middle lens; minor zinc mineralization
EZ18-002,7.79,7.94,EZML,End Zone Middle Lens,End Zone middle lens; minor zinc mineralization
EZ18-002,7.94,8.097,EZML,End Zone Middle Lens,End Zone middle lens; minor zinc mineralization
EZ18-002,8.097,9.07,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-002,9.07,9.22,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-002,9.22,26.59,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-002,26.59,26.71,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-002,26.71,29.18,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-002,29.18,29.29,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-002,29.29,29.5,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-002,29.5,29.72,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-002,29.72,33.69,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
EZ18-002,33.69,33.88,EZW2,End Zone waste2,End Zone barren material between middle and lower lenses
